"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0,-56.1255436840133,0.0935723486749211,0.987482182404009,0,0,0,0.828677044809654,0,0,0,-167.221141393539,0
"2",0,-40.1174990662538,0.0920791982869291,-0.98729791049212,0,0,0,0.827814506984458,0,0,0,-167.221156855311,0
"3",0,-17.1597260633869,0.0935284918544695,-0.987415217588718,0,0,0,0.828387818153573,0,0,0,-167.221129575027,0
"4",0,-33.5471716174827,0.0933079055263376,-0.987424947062853,0,0,0,0.828213270452018,0,0,0,-167.221131073868,0
"5",0,-6.94729123157343,0.0922569539772217,-0.987446610880047,0,0,0,0.828608966459436,0,0,0,-167.221143231122,0
"6",0,7.32746800447258,0.094523568284826,-0.987391665649248,0,0,0,0.828027830798118,0,0,0,-167.221140205667,0
"7",0,-60.865961365139,0.0921157595398677,0.987377797812075,0,0,0,0.827591016556224,0,0,0,-167.221170682905,0
"8",0,-11.2385159188581,0.0937795922713876,-0.987455369997102,0,0,0,0.828245804169798,0,0,0,-167.22113324832,0
"9",0,10.2667235421262,0.0948308483523852,0.987257779096775,0,0,0,0.827988966051832,0,0,0,-167.221151067119,0
"10",0,1.82275801098808,0.0939596468553776,0.987534853457095,0,0,0,0.828237999561378,0,0,0,-167.22114420831,0
"11",0,-19.4519826983345,0.0937391260549869,-0.987531858964074,0,0,0,0.828244327551467,0,0,0,-167.22114275378,0
"12",0,8.95778277691553,0.0936583226661225,-0.987406178212831,0,0,0,0.828661473405144,0,0,0,-167.221135087184,0
"13",0,-42.1820900372517,0.0940305608578086,0.987340675198993,0,0,0,0.827973251449416,0,0,0,-167.221138160369,0
"14",0,22.1480467881208,0.0937513352930756,0.987335848048567,0,0,0,0.828412212716999,0,0,0,-167.221129389015,0
"15",0,-43.50987711631,0.0922758487440993,-0.987434648971554,0,0,0,0.828316720926907,0,0,0,-167.221138075794,0
"16",0,11.4206541223797,0.0934310525790509,0.987363123824409,0,0,0,0.82801709949441,0,0,0,-167.221134418955,0
"17",0,-13.7274538027096,0.0933316438115918,-0.987396361927457,0,0,0,0.828439013909167,0,0,0,-167.221129326289,0
"18",0,-0.0161152930900185,0.092520292108994,0.987405610730205,0,0,0,0.828420078534765,0,0,0,-167.221134076221,0
"19",0,46.7921823389737,0.0934384907042651,0.987556747591343,0,0,0,0.828487444911976,0,0,0,-167.221147369248,0
"20",0,-19.8577575200275,0.0936864798513311,0.987366561537707,0,0,0,0.828074745581074,0,0,0,-167.221132676378,0
"21",0,11.0459451181376,0.0941860899379608,0.987507463077794,0,0,0,0.82796941914821,0,0,0,-167.221148914074,0
"22",0,-20.8898112066867,0.0924117517476184,0.987559184389196,0,0,0,0.828527707525955,0,0,0,-167.221154445106,0
"23",0,-13.5998217844992,0.0941171054063224,-0.98746907947183,0,0,0,0.827919915473301,0,0,0,-167.221146080599,0
"24",0,-1.63333017832269,0.0937008639588462,0.987339481711346,0,0,0,0.828163754941743,0,0,0,-167.221130745345,0
"25",0,-1.13777915177391,0.0924173903983753,-0.987253945346291,0,0,0,0.828038862728017,0,0,0,-167.221145591564,0
"26",0,-28.5716025336739,0.0916447351271908,-0.987396362529969,0,0,0,0.828327535679092,0,0,0,-167.22114618627,0
"27",0,48.9356792676061,0.0924683523947494,0.987255927807426,0,0,0,0.827902824538528,0,0,0,-167.221150694424,0
"28",0,-4.65286940177986,0.0944596986854063,-0.987405654496735,0,0,0,0.828304469385924,0,0,0,-167.221134291906,0
"29",0,5.01244893924714,0.093436518285377,0.987474789766912,0,0,0,0.82826227106375,0,0,0,-167.221134465069,0
"30",0,-6.45400207639828,0.0930946683321894,-0.987544692908509,0,0,0,0.828811674459171,0,0,0,-167.221157381207,0
"31",0,-36.2728727953838,0.0940688153478933,0.987589302277508,0,0,0,0.828105867869777,0,0,0,-167.221157966102,0
"32",0,0.0346946156466213,0.093217666707919,0.987463418160164,0,0,0,0.828523402589819,0,0,0,-167.221135124735,0
"33",0,-3.31110987827298,0.0934627866832057,0.987475659442181,0,0,0,0.827802587958271,0,0,0,-167.221151093423,0
"34",0,38.3003207007219,0.0925034378909186,0.987170307249551,0,0,0,0.827809225196951,0,0,0,-167.221168512667,0
"35",0,-47.1645462961243,0.0939348523922291,0.987494683666802,0,0,0,0.828408207605874,0,0,0,-167.221137798319,0
"36",0,-19.1554816525593,0.095283398654271,0.987278131948333,0,0,0,0.82854922709313,0,0,0,-167.221151852374,0
"37",0,39.2829552471569,0.0927533889491697,-0.9876472151927,0,0,0,0.828539092392962,0,0,0,-167.22117206731,0
"38",0,-8.23960448802651,0.0924421359922012,0.987299957579957,0,0,0,0.828795331255814,0,0,0,-167.221147737061,0
"39",0,-3.02158697582685,0.0942052298253233,-0.987451224850856,0,0,0,0.828753017024523,0,0,0,-167.221144396078,0
"40",0,33.010856781517,0.0923289548384491,-0.987287346171435,0,0,0,0.827983538977885,0,0,0,-167.221145601597,0
