"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0.692628535725305,-26.5699143107744,0.0945169747048996,-0.882829297102855,0,0,0,-0.013743897670811,0,0,0,-140.320517919557,0
"2",0.693036395727408,48.9928066514742,0.0924975044786796,0.882675277536795,0,0,0,-0.0139989084593677,0,0,0,-140.320505193236,0
"3",0.693063688891716,27.9229510081583,0.0941217006906848,0.882505820545685,0,0,0,-0.013946541380185,0,0,0,-140.320522895223,0
"4",0.692733237701434,-45.2405107660572,0.0932404591730496,-0.882586278359108,0,0,0,-0.0140761055879656,0,0,0,-140.320501652427,0
"5",0.692805674339835,-3.12604029873229,0.0949230743381295,0.882621729333444,0,0,0,-0.0134718113735696,0,0,0,-140.32052843777,0
"6",0.692515415286812,29.0671702330923,0.0945216648035846,-0.8826080588842,0,0,0,-0.0132349047709416,0,0,0,-140.320519942465,0
"7",0.692842177133399,4.48001662076424,0.0929394730726201,-0.882678173668322,0,0,0,-0.0135944555387427,0,0,0,-140.320505739191,0
"8",0.692753883395914,33.7708325038595,0.0932172547450552,-0.882510824369774,0,0,0,-0.0138861453094838,0,0,0,-140.32050791394,0
"9",0.69296882525559,-1.55501926094914,0.0942512335649507,-0.882711557419457,0,0,0,-0.0135180746399864,0,0,0,-140.320531136318,0
"10",0.692885883658429,39.0143635061497,0.0931343036701623,0.882708980711569,0,0,0,-0.0137884485139473,0,0,0,-140.320497554223,0
"11",0.692721933446413,36.4091253433883,0.0935289101762187,-0.882667935189036,0,0,0,-0.0140002981746343,0,0,0,-140.320494475603,0
"12",0.693161769077961,13.9495601628295,0.0936227302532597,-0.882721537662971,0,0,0,-0.0140530271621471,0,0,0,-140.320508346105,0
"13",0.692677159594784,-2.02018005633825,0.0929355913261103,-0.882760880091688,0,0,0,-0.0135150074066624,0,0,0,-140.320505357714,0
"14",0.692949221623008,-62.115928602977,0.0938776751245057,-0.882806976243142,0,0,0,-0.0142200453412882,0,0,0,-140.320505395943,0
"15",0.692612908514493,6.64726156963565,0.092341172630098,-0.882672858723563,0,0,0,-0.0137427842645497,0,0,0,-140.320504847949,0
"16",0.692836751496887,-8.6962478120555,0.0932004353993899,-0.882569489574755,0,0,0,-0.0141476531835888,0,0,0,-140.320500972821,0
"17",0.692815133803564,-41.6425677787773,0.0928448334939902,-0.882682970446519,0,0,0,-0.0137265554095441,0,0,0,-140.320497961497,0
"18",0.693139172091818,-28.399204384139,0.0920604604980794,-0.882502699347567,0,0,0,-0.0148144120769798,0,0,0,-140.320552687202,0
"19",0.692905669847648,9.58009306203913,0.0931323920130703,0.882751060812672,0,0,0,-0.013800538506161,0,0,0,-140.320501215208,0
"20",0.69254681869036,9.07562576227044,0.0934492709652694,0.882508099501575,0,0,0,-0.0133771425256217,0,0,0,-140.320518215373,0
"21",0.692893843656334,-0.813698772273695,0.0935447364694008,-0.882793951366256,0,0,0,-0.0135450023375822,0,0,0,-140.320521501788,0
"22",0.693023927302255,-2.51073722133268,0.0931665210747085,0.882569754922648,0,0,0,-0.0141582384126528,0,0,0,-140.320500634195,0
"23",0.692903481642922,-16.2147277632229,0.0938005182878978,-0.882757674004639,0,0,0,-0.0140449222552448,0,0,0,-140.320496369196,0
"24",0.692589856779087,-17.8923313327129,0.0935324639795597,-0.88277812941385,0,0,0,-0.0139801507467725,0,0,0,-140.320510900938,0
"25",0.692496516476097,20.2085001572987,0.0931539574995452,0.882718532491318,0,0,0,-0.0137416209103646,0,0,0,-140.320504205139,0
"26",0.693201072933527,-19.4117155375326,0.0927319615096372,-0.882564388334967,0,0,0,-0.0142699727968367,0,0,0,-140.320513592894,0
"27",0.692838854081555,31.8483297543674,0.093637717638097,-0.882777235590457,0,0,0,-0.013209394517279,0,0,0,-140.320549379307,0
