"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0,20.1573427880084,0.0931419544694173,0.987361110761415,0,0,0,0.828011583318561,0,0,0,-167.2211351862,0
"2",0,55.2876653088665,0.094651512088927,-0.987501302277097,0,0,0,0.827937397925193,0,0,0,-167.221154177159,0
"3",0,-27.8759673781916,0.0925814195997722,-0.987520465151851,0,0,0,0.828401870432635,0,0,0,-167.221144322155,0
"4",0,5.18482456638806,0.0914351161220264,-0.987399362078256,0,0,0,0.828051309863322,0,0,0,-167.221155453834,0
"5",0,19.6061830008313,0.0932211165641047,-0.987454856010312,0,0,0,0.828469592816917,0,0,0,-167.221133377298,0
"6",0,-3.01418701470444,0.0940054199714937,0.987556619586469,0,0,0,0.828418928345031,0,0,0,-167.221147994323,0
"7",0,3.61837681282735,0.0944949466292181,-0.987322986022126,0,0,0,0.828080250510217,0,0,0,-167.221138720451,0
"8",0,2.25216816249675,0.09333310819261,0.987394195843776,0,0,0,0.828125491110053,0,0,0,-167.221131481784,0
"9",0,16.049851779962,0.0937799234776008,-0.987353055209639,0,0,0,0.827879648555694,0,0,0,-167.221141289938,0
"10",0,-52.2354694106874,0.093074873423314,0.987489751690873,0,0,0,0.828111645726355,0,0,0,-167.221139709455,0
"11",0,-36.853588196621,0.0947297828112127,0.987466537887836,0,0,0,0.828304428011003,0,0,0,-167.221141699802,0
"12",0,-1.97953650422123,0.0940368347578123,-0.987402265534555,0,0,0,0.828262540391933,0,0,0,-167.221130981052,0
"13",0,27.1647231411993,0.0941545911048442,0.987374219742561,0,0,0,0.828440334749006,0,0,0,-167.221131308179,0
"14",0,-2.76604000945337,0.0933098891647491,-0.987472495283998,0,0,0,0.828547679528762,0,0,0,-167.221136378606,0
"15",0,-22.6502034306289,0.0920160220261062,-0.987400301757311,0,0,0,0.828512244724001,0,0,0,-167.221141552413,0
"16",0,-10.9019695717312,0.0940830082724813,0.987527147756781,0,0,0,0.828046362780538,0,0,0,-167.221148136381,0
"17",0,-3.74970550330639,0.0932683178043724,-0.987386554066201,0,0,0,0.828523313398884,0,0,0,-167.221130534689,0
"18",0,-36.7632329851459,0.0936258995780809,-0.98749786826309,0,0,0,0.828417449052504,0,0,0,-167.221137263435,0
"19",0,29.3218804359772,0.0939299634566855,0.987571979213151,0,0,0,0.828659457073054,0,0,0,-167.221156040317,0
"20",0,16.8008234524891,0.0949761545618313,-0.987425842827112,0,0,0,0.828183388091263,0,0,0,-167.221143471106,0
"21",0,-31.0562026535669,0.0935112279950582,-0.987481621793281,0,0,0,0.828147385429124,0,0,0,-167.221137067703,0
"22",0,10.5809302832109,0.0929996780145957,-0.987415504011167,0,0,0,0.828205367123612,0,0,0,-167.2211317078,0
"23",0,-38.8071342107745,0.0925255237357957,-0.987405829220273,0,0,0,0.828388724819331,0,0,0,-167.221133811637,0
"24",0,-12.1736943755692,0.0927428380799506,-0.987431822675082,0,0,0,0.828094095962549,0,0,0,-167.22113673929,0
"25",0,-30.8320085382924,0.0933603799611853,0.987482537709522,0,0,0,0.828597188120738,0,0,0,-167.221138723024,0
"26",0,11.2496411907231,0.0929670167073727,0.987453903525631,0,0,0,0.829047365120653,0,0,0,-167.221162035382,0
"27",0,26.1644763088067,0.0951132861426991,-0.9873504417788,0,0,0,0.828343580141093,0,0,0,-167.221142619472,0
"28",0,-0.982152978258754,0.0949002051997615,0.987569852231968,0,0,0,0.828496275762531,0,0,0,-167.221160856584,0
"29",0,-8.99470366193025,0.0948734805958154,0.987529987556764,0,0,0,0.828249870191496,0,0,0,-167.221152396971,0
"30",0,-21.2170304315027,0.094187420243876,0.987274178320026,0,0,0,0.828736592915741,0,0,0,-167.221144068426,0
"31",0,-13.9354897868002,0.0938565276243802,-0.987408234427391,0,0,0,0.828329206974185,0,0,0,-167.221129935575,0
"32",0,-2.92955896616247,0.0934640015038016,-0.987509954289564,0,0,0,0.828454010099648,0,0,0,-167.221139162715,0
"33",0,12.0409150075663,0.0940827419345944,0.987412840414663,0,0,0,0.828575710320699,0,0,0,-167.221134443246,0
"34",0,5.23737427671692,0.0939222232453778,0.987225867936624,0,0,0,0.82880375161713,0,0,0,-167.221151264747,0
"35",0,-10.7514707707222,0.0920728895231263,-0.987326216259197,0,0,0,0.827441541282773,0,0,0,-167.221186330381,0
"36",0,22.9387034346694,0.0941591248560586,0.987316632167729,0,0,0,0.828880112049103,0,0,0,-167.221148631414,0
"37",0,-7.26652896137215,0.0942131104120029,-0.987374393053946,0,0,0,0.828556604557811,0,0,0,-167.221133836986,0
"38",0,-11.4167913893612,0.0936357877582206,0.987415297177371,0,0,0,0.828264354260576,0,0,0,-167.221129956652,0
"39",0,-12.6041160768955,0.0952140635283664,-0.987351318544921,0,0,0,0.828428910881716,0,0,0,-167.221144828185,0
"40",0,4.30059917054125,0.0922781087555069,0.987326334265821,0,0,0,0.828507438352303,0,0,0,-167.221138012621,0
