"","ramage","ramages","caquet","caquets","babil","babils","charivari","charivarys","charivary","charivaris","total"
"1600",1,NA,NA,NA,1,NA,NA,NA,NA,NA,998054
"1601",2,1,2,NA,NA,NA,NA,NA,NA,NA,245385
"1602",2,NA,NA,NA,2,NA,NA,NA,NA,NA,694369
"1603",6,NA,4,NA,4,NA,NA,NA,NA,NA,1050840
"1604",24,1,NA,NA,NA,NA,NA,NA,NA,NA,2685360
"1605",2,2,NA,NA,3,NA,NA,NA,NA,NA,1626372
"1606",1,NA,1,NA,NA,NA,NA,NA,NA,NA,743771
"1607",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,768552
"1608",4,1,1,NA,4,1,NA,NA,NA,NA,2750386
"1609",1,3,2,NA,3,NA,NA,NA,NA,NA,1600560
"1610",8,2,8,1,5,NA,1,NA,NA,NA,2936235
"1611",1,NA,1,NA,9,NA,NA,NA,NA,NA,2525116
"1612",2,NA,NA,1,2,NA,NA,NA,NA,NA,1579396
"1613",9,NA,1,NA,10,NA,NA,NA,NA,NA,1741951
"1614",4,1,3,1,15,NA,NA,NA,NA,NA,2342004
"1615",9,2,19,NA,38,NA,NA,NA,NA,NA,2939290
"1616",7,1,5,1,32,NA,NA,NA,NA,NA,2216699
"1617",1,1,2,NA,5,NA,1,NA,NA,1,1772245
"1618",7,2,8,1,48,NA,NA,NA,NA,NA,3044029
"1619",5,4,6,1,12,NA,NA,NA,NA,NA,2176940
"1620",1,1,2,2,3,NA,NA,NA,NA,NA,1640135
"1621",14,3,9,NA,9,NA,NA,NA,NA,NA,2543992
"1622",6,2,1,2,3,NA,NA,NA,NA,NA,1656474
"1623",2,1,2,NA,1,NA,NA,NA,NA,NA,1024666
"1624",7,NA,3,NA,7,NA,NA,NA,NA,NA,1417922
"1625",10,2,1,NA,4,NA,NA,NA,NA,NA,1589543
"1626",15,1,1,1,5,NA,NA,NA,NA,NA,1362974
"1627",12,2,4,NA,10,1,NA,NA,NA,NA,2281227
"1628",1,1,9,NA,8,NA,NA,NA,NA,NA,2268719
"1629",4,NA,3,NA,4,NA,NA,NA,NA,NA,2943070
"1630",4,NA,1,NA,8,NA,NA,NA,NA,NA,1145343
"1631",10,NA,1,1,4,NA,NA,NA,NA,NA,2472450
"1632",6,2,1,2,2,NA,NA,NA,NA,NA,1385011
"1633",2,NA,3,NA,2,NA,NA,NA,NA,NA,2118511
"1634",1,NA,NA,NA,2,NA,NA,NA,NA,NA,1611743
"1635",84,4,4,1,9,NA,2,NA,NA,NA,3122914
"1636",5,NA,2,1,NA,NA,NA,NA,NA,NA,2617311
"1637",26,3,3,NA,9,NA,NA,NA,NA,NA,3983686
"1638",9,3,1,NA,7,NA,NA,NA,NA,NA,5229818
"1639",2,NA,6,NA,7,NA,NA,NA,NA,NA,2300068
"1640",4,NA,2,NA,NA,NA,NA,NA,NA,NA,2062797
"1641",3,NA,1,NA,6,NA,NA,NA,NA,NA,2051631
"1642",2,2,3,NA,6,NA,NA,NA,NA,NA,2368591
"1643",16,NA,12,NA,14,NA,1,NA,NA,NA,5523089
"1644",12,NA,19,NA,8,NA,NA,NA,NA,NA,4116134
"1645",5,NA,15,1,12,2,NA,NA,NA,NA,3749103
"1646",32,3,4,NA,9,NA,NA,NA,NA,NA,3340552
"1647",5,NA,1,NA,2,NA,NA,NA,NA,NA,3110737
"1648",4,1,3,1,6,NA,NA,NA,NA,NA,2099922
"1649",4,2,15,3,1,NA,NA,NA,NA,NA,2441683
"1650",9,NA,3,NA,5,NA,1,NA,NA,NA,4175459
"1651",3,1,3,1,4,NA,NA,NA,NA,NA,3438974
"1652",9,NA,11,NA,10,NA,NA,NA,NA,NA,2263757
"1653",24,2,11,1,15,NA,NA,NA,NA,NA,3906663
"1654",5,NA,10,2,NA,NA,NA,NA,NA,NA,2486883
"1655",59,4,4,NA,2,NA,NA,NA,NA,NA,2926861
"1656",6,NA,2,NA,2,NA,NA,NA,NA,NA,2427777
"1657",8,NA,5,NA,1,1,1,NA,NA,NA,2449661
"1658",NA,NA,2,NA,1,NA,1,NA,NA,1,1078035
"1659",2,NA,3,NA,4,NA,NA,NA,NA,NA,2450330
"1660",10,3,2,1,10,NA,NA,NA,NA,NA,3496671
"1661",8,NA,1,NA,1,NA,NA,NA,1,NA,4426014
"1662",3,NA,1,NA,1,NA,NA,NA,NA,NA,2607444
"1663",9,3,21,NA,11,1,NA,NA,NA,NA,3687524
"1664",16,1,1,NA,6,NA,NA,NA,1,NA,5429237
"1665",3,NA,4,NA,3,NA,NA,NA,NA,NA,3911206
"1666",5,1,1,1,5,NA,NA,NA,1,NA,4357476
"1667",12,NA,4,1,1,NA,NA,NA,NA,NA,2610060
"1668",4,1,5,2,NA,NA,NA,NA,NA,NA,3097694
"1669",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,824096
"1670",1,1,1,NA,1,NA,NA,NA,NA,NA,1498667
"1671",9,1,1,NA,10,NA,NA,NA,1,NA,4000223
"1672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775723
"1673",2,3,7,4,3,NA,NA,NA,NA,NA,2064604
"1674",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434774
"1675",6,NA,1,1,5,NA,NA,NA,1,NA,3445084
"1676",3,NA,1,NA,3,NA,NA,NA,NA,NA,2257277
"1677",3,NA,3,NA,2,NA,NA,NA,NA,NA,2826347
"1678",1,NA,2,NA,2,NA,NA,NA,NA,NA,1584456
"1679",2,1,2,NA,5,NA,NA,NA,1,NA,3246159
"1680",7,1,4,NA,2,NA,NA,NA,NA,NA,3824988
"1681",3,NA,2,NA,4,NA,1,NA,1,NA,3423213
"1682",1,NA,2,NA,5,NA,NA,NA,1,NA,2786423
"1683",3,NA,5,NA,6,NA,1,NA,1,1,8675688
"1684",113,12,1,NA,1,NA,NA,NA,NA,NA,4720279
"1685",1,NA,5,NA,3,1,NA,NA,1,NA,7650185
"1686",2,1,NA,NA,1,NA,1,NA,NA,NA,3313383
"1687",2,1,NA,NA,1,NA,1,NA,NA,NA,3656765
"1688",3,1,1,NA,5,NA,NA,NA,1,NA,3390332
"1689",2,1,NA,NA,NA,NA,NA,NA,NA,NA,3201095
"1690",2,NA,NA,NA,1,NA,1,NA,NA,NA,3236641
